Position;FDR;const;points_1;points_2;minutes_1;minutes_2;assists_1;assists_2;goals_conceded_1;goals_conceded_2;clean_sheets_1;clean_sheets_2;goals_scored_1;goals_scored_2;threat_1;threat_2;creativity_1;creativity_2;influence_1;influence_2;ict_1;ict_2;
1;2;0.0;0.0;0.0;0.02962603181414385;0.01650443413255577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.5462143088042426;0.0;-0.6073473437507088;0.0;-0.7136644897227192;0.0;7.100008609670888;0.0;
1;3;0.0;0.0;0.0;0.026922933949475723;0.021210345047570245;0.0;0.0;-0.25671045095608236;-0.45519366787036375;0.0;0.0;0.0;0.0;0.0;0.0;-0.8952730610645505;0.6582755647142196;-0.6300680529055426;0.0;6.360672013265237;0.0;
1;4;0.0;0.21441310843943578;0.0;0.02548421628361387;0.011236515660959664;3.779650843676758e-15;19.21754635363029;0.0;0.0;-0.7703256562527493;0.0;-6.401382627643107e-15;0.0;0.0;0.0;0.0;-0.4770293258927074;0.0;0.0;-0.2529938632971832;0.0;
1;5;0.0;0.0;0.0;0.022939717978705816;0.0;1.1879082898401564e-14;29.60014754937579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.2344037350640233;0.0;-1.2772996332869144;0.0;12.739044421999514;0.0;
2;2;0.17631106052254364;0.24226168932358622;0.0;0.01926813269415957;0.020280436826673395;-1.2102185465070665;0.0;0.0;-0.7897609058138813;-1.1914116302449766;0.0;-1.649317338244503;0.0;0.0;1.0377845056079193;0.0;1.0262465026087293;0.0;1.0024623350658066;0.0;-9.942511086342;
2;3;0.14372185729736;0.058253225373254267;0.6500738605210561;0.014585539757889605;0.0;0.0;-2.9181089362590282;0.0;-0.3951388566619116;0.0;-2.5400857491024222;0.0;-6.631007065906013;-0.26928564345551015;0.0;-0.273821366343778;0.0;-0.28003994946283345;0.0;2.7492127942310347;0.2972462062146762;
2;4;0.13794942397191928;0.09289770291342402;0.0;0.005684980405657342;0.01731288535127584;-0.6727709713347723;0.0;0.13556360450556626;-0.6904474921525547;0.0;0.0;-0.7207587934414541;0.0;0.0;0.03986854298616875;0.0;0.023387963721175468;0.0;0.0;0.05044674654425222;0.0;
2;5;0.0;-0.10131294960397191;0.5855289192407367;0.007075337450843261;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022468332705221635;0.0;0.0;0.0;0.0;-0.04886954517596059;0.0;0.0;
3;2;0.20701154535596963;0.1882580510087546;0.281748757306717;0.01127437222665314;0.0;-0.5291124585992617;0.0;0.0;-0.2772553565837751;-0.5166494601751221;0.7617407615415972;-1.6472145299822762;0.0;0.0;-0.6303449989262835;-0.009254141455530069;-0.6534937668985222;0.0;-0.6992337220414442;0.1300255572303382;6.7923684060381415;
3;3;0.15214200395865288;0.0;0.836897675892992;0.01559090904077134;0.0;0.0;-1.610231693722369;0.0;-0.4828273597560842;0.0;-1.3930528904025417;0.0;-2.6330534864127806;0.0;0.0;0.0;-0.02616942411962173;0.0;-0.05491628248466728;0.0;0.3521953281993788;
3;4;0.21047361682458526;0.10443004074136243;0.0;0.013554363408564555;0.0;-0.3381360305756553;0.0;0.0;0.0;0.0;0.0;-0.6257745501680185;1.3346050193813783;0.0;0.03158648581103343;0.0;0.029480342711047942;0.0;0.0;0.0;0.0;
3;5;0.18229259204106024;0.09919146876962529;0.0;0.011732418131785896;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027388565639398187;0.0;0.0;-0.019909131247900468;0.03830775247652562;0.0;0.0;
4;2;0.24985725346869747;0.30728400976686177;0.0;0.02468362008192364;0.027987496431743284;-1.4740969263174344;3.0700735200654443;-0.2794774089457257;-0.6219377284149994;0.0;-1.8123442446921618;-1.6761012730516913;5.07240323673365;0.0;-0.05822301523456716;0.0;0.0;0.0;-0.1696769411916045;0.0;0.5971892005529229;
4;3;0.0;0.2926554335267419;0.0;0.007436235393581293;0.039395173377757456;-1.3391440556156786;0.0;0.0;-0.6922253120126577;0.0;-2.618498957007377;-2.710613404744601;2.0450570581617873;0.0;0.0;0.0;0.0;0.04850836060693891;0.0;0.0;0.0;
4;4;0.14748725136052215;0.05339060937085659;0.39698449803409447;0.01744849942816383;-0.017066521507349726;-0.36976032894185584;0.0;0.0;0.0;0.0;2.2392150302008655;0.0;-2.085770556175918;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.20683202714407575;
4;5;0.0;0.0;0.0;0.009181429152414228;0.0;0.0;0.0;0.0;0.6866816115297198;0.0;2.2217402695420603;0.0;0.0;0.0;0.0;0.0;0.0;0.010739097211535178;0.0;0.0;0.0;
