Position;FDR;points_1;points_2;points_inf;points_1_sqrd;points_2_sqrd;points_inf_sqrd;
1;2;0.5629633431229184;0.36224148217912117;1.0730519964976766;-0.04663310409275273;-0.02397355700496502;-0.13849240752090866;
1;3;0.6877712706378788;0.14374338647338147;0.8210257369164433;-0.05638657202864768;-0.0055345956241408785;-0.09008682472070473;
1;4;0.5208397138617262;0.20378439446608024;0.780003131508923;-0.03606350541974014;-0.019778100904885028;-0.08527600268416953;
1;5;0.8192280156343485;0.3745483047678203;0.0479419261179079;-0.0833446579656579;-0.04137958167743358;-0.0017297095032928998;
2;2;0.40466342985046694;0.23976704172932684;1.0495987098996773;-0.025879486401661406;-0.016216957938227746;-0.10833820027277613;
2;3;0.32711311691907924;0.1746341797055453;0.7952601413236858;-0.0194396521103732;-0.0128460020965895;-0.05936084693046063;
2;4;0.21063026457015807;0.17833799468363598;0.6657987878955232;-0.01129129521314207;-0.012490245666892079;-0.06338131427162996;
2;5;0.12019580755042696;0.11144527327943024;0.26590214096801235;-0.016733538174068554;-0.008929139848692315;0.02611768403773733;
3;2;0.37206048938242897;0.2070431775619325;0.7125079336648679;-0.018934390213425172;-0.009146562514059075;-0.019623036210682968;
3;3;0.3658406317475258;0.1221722810897638;0.6782834526035343;-0.021536965703430628;-0.0011625996954612717;-0.033046714993499045;
3;4;0.34524542534230557;0.13045430172809644;0.6005095484161191;-0.021023013873653233;-0.007530287761272858;-0.023859003790253477;
3;5;0.257873138669633;0.12373946314545192;0.47946616646626844;-0.014362437173421307;-0.01056195352620605;-0.01863728716875476;
4;2;0.5599358682700415;0.32985325115639125;0.7161149544381175;-0.03924126372010089;-0.020124036590916106;-0.0363992975427577;
4;3;0.3276689592489603;0.11467196602231938;0.7149800194200168;-0.014264863594064153;-0.006139809378490679;-0.029174011703173082;
4;4;0.39322912624764345;0.01684646866567112;0.6034556452767603;-0.022348238356058002;0.0012224478760399062;-0.025821991330697118;
4;5;0.08921802254111207;0.07580739174150075;0.7295230835175592;0.0009280160991263203;-0.0054007297925228025;-0.085840518717913;
